id,type,componentId,title,category,confidence,anchor,evidence,overview,function,relationships,inspection,safety
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2899800,component-label,C31,Machine Frame Subassembly,Machine Structure,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.3580000102519989,0.025003820657730103,0.5921763777732849],""direction"":[-0.2184837836966078,0.29393143652647374,0.930520900830872],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4250111 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4250109 > 4250110 > 4250111"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Machine Frame Subassembly is a distinct modeled machine structure element. Its shape and location help learners recognize this part of the machine.,It provides a substantial support path for adjacent machine elements.,"It includes Primary Machine Frame, Main Housing Frame, Complete Access Door, and other nearby elements.","Inspect the machine frame subassembly for major faces, structural junctions, and panel clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2867662,component-label,C32,Primary Machine Frame,Machine Structure,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[1.6150000095367432,0.04350763559341431,0.10809999704360962],""direction"":[0.8736643641378601,0.12671252871222993,0.46973877198176983],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4015660 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4250109 > 4250110 > 4250111 > 4015660"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Primary Machine Frame is a distinct modeled machine structure element. Its shape and location help learners recognize this part of the machine.,It provides a substantial support path for adjacent machine elements.,It sits within the Machine Frame Subassembly and connects visually with adjacent parts of that assembly.,"Inspect the primary machine frame for major faces, structural junctions, and panel clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#3288527,component-label,C33,Chuck-Flushing Extension,Fluid Delivery,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.1686491440050304,0.040000001434236765,-0.010999999940395355],""direction"":[-0.5506495912005619,-0.5493137149568932,-0.6285216545759671],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 048__29_WASHING_CHUCK_EXT at occurrence path SA0138_ASM > 4246339_ASM_1 > 4065686 > 048__29_WASHING_CHUCK_EXT"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Chuck-Flushing Extension is a distinct modeled fluid delivery element. Its shape and location help learners recognize this part of the machine.,It groups the modeled route around the flushing area without claiming pressure or flow values.,It sits within the Chuck-Flushing Assembly and connects visually with adjacent parts of that assembly.,"Inspect the chuck-flushing extension for routing, connection points, and enclosure clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#3300610,component-label,C34,Handling Arm Assembly,Mechanical Handling,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.12600000140070916,0.17424999955296522,-0.15912499937415123],""direction"":[-0.6597231941001823,0.5862692093108274,0.4701635049430256],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4253368_DT at occurrence path SA0138_ASM > 4246339_ASM_1 > 4250394 > 4253368_DT"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Handling Arm Assembly is a distinct modeled mechanical handling element. Its shape and location help learners recognize this part of the machine.,It forms part of the modeled arm-handling mechanism without claiming a motion sequence.,"It includes Handling Arm Actuator, Handling Arm, Arm Stowage Garage.","Inspect the handling arm assembly for attachment points, moving-path clearance, and enclosure contact edges. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#3294994,component-label,C35,Handling Arm Actuator,Actuation,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.002499999478459358,0,0.06400000303983688],""direction"":[-0.6236722862806008,0.26995753509941783,0.7335910363196753],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4253368_ACTUATOR_DT at occurrence path SA0138_ASM > 4246339_ASM_1 > 4250394 > 4253368_DT > 4253368_ACTUATOR_DT"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""inspection"",""overview"",""relationships"",""title""]}]",The Handling Arm Actuator is a distinct modeled actuation element. Its shape and location help learners recognize this part of the machine.,It provides modeled actuation for the adjoining handling mechanism without claiming energy source or stroke.,It sits within the Handling Arm Assembly and connects visually with adjacent parts of that assembly.,"Inspect the handling arm actuator for attachment points, body condition, and line-of-action clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#344355,component-label,C36,Turret Slide Carriage,Linear Motion,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[1.2454999685287476,0.042319223284721375,-0.4810093939304352],""direction"":[0.9354000631852082,0.19002152145885182,-0.2981921246035378],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4040068 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4218037 > 4040068"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""title""]}]",The Turret Slide Carriage is a distinct modeled linear motion element. Its shape and location help learners recognize this part of the machine.,It supports guided movement between adjoining machine structures.,It sits within the 12-Station Tool Turret Assembly and connects visually with adjacent parts of that assembly.,"Inspect the turret slide carriage for running surfaces, straight visual alignment, and travel clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2308562,component-label,C37,SME20 External Encoder Module,Feedback and Sensing,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.039650000631809235,0.0056924838572740555,-0.009371364489197731],""direction"":[0.433492753022787,0.8009820661605243,0.4129306997135749],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node AG_2322227_SME20 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4218037 > AG_2322227_SME20"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""title""]}]",The SME20 External Encoder Module is a distinct modeled feedback and sensing element. Its shape and location help learners recognize this part of the machine.,It provides a modeled feedback device without claiming signal type or accuracy.,It sits within the 12-Station Tool Turret Assembly and connects visually with adjacent parts of that assembly.,"Inspect the sme20 external encoder module for housing attachment, cable entry, and clearance to moving elements. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#1132414,component-label,C38,VDI30 12-Station Turret Head,Tooling,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.35499998927116394,0.007500000298023224,-0.0020000040531158447],""direction"":[0.6855040913113722,0.5378466496799276,-0.49071898498371463],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4015515_1_1 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4218037 > 4015515 > 4015515_1_1"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""title""]}]",The VDI30 12-Station Turret Head is a distinct modeled tooling element. Its shape and location help learners recognize this part of the machine.,It provides the modeled tool-positioning structure without claiming indexing accuracy or tooling ratings.,It sits within the 12-Station Tool Turret Module and connects visually with adjacent parts of that assembly.,"Inspect the vdi30 12-station turret head for station faces, mounting interfaces, and nearby clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2791680,component-label,C39,Main Housing Frame,Machine Structure,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.38750001788139343,-0.01600000262260437,0.49413588643074036],""direction"":[-0.26067426778463415,0.3421101552385878,0.9027788033608091],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4015838 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4250109 > 4250110 > 4250111 > 4015660 > 4015838"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""title""]}]",The Main Housing Frame is a distinct modeled machine structure element. Its shape and location help learners recognize this part of the machine.,It provides a substantial support path for adjacent machine elements.,It sits within the Machine Frame Subassembly and connects visually with adjacent parts of that assembly.,"Inspect the main housing frame for major faces, structural junctions, and panel clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2852041,component-label,C40,Complete Access Door,Access Guard,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.4404999911785126,-0.4441344402730465,0.6660669445991516],""direction"":[-0.11161982145765852,0.5916070972590999,0.7984623083968476],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4016022 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4250109 > 4250110 > 4250111 > 4015660 > 4016022"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""title""]}]",The Complete Access Door is a distinct modeled access guard element. Its shape and location help learners recognize this part of the machine.,It forms part of the modeled access enclosure around the machine area.,It sits within the Machine Frame Subassembly and connects visually with adjacent parts of that assembly.,"Inspect the complete access door for perimeter seams, access edges, and clearance to adjoining panels. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2866879,component-label,C41,Front Center Cover Assembly,Machine Protection,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.41750000696629286,-0.2514451910974458,0.0020000000949949026],""direction"":[-0.1088390711399288,-0.5547353235518252,0.8248774317419827],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4061088 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4250109 > 4250110 > 4250111 > 4015660 > 4061088"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""title""]}]",The Front Center Cover Assembly is a distinct modeled machine protection element. Its shape and location help learners recognize this part of the machine.,It forms part of the protective outer envelope around adjacent machine elements.,It sits within the Machine Frame Subassembly and connects visually with adjacent parts of that assembly.,"Inspect the front center cover assembly for panel seams, protective edges, and overlap clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#3261140,component-label,C42,Machine Cabin Body,Access Guard,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.39750000834465027,-0.011996179819107056,0.49423590302467346],""direction"":[-0.1966092447882725,0.37028092370239135,0.907874904601889],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4061866 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4065686 > 4061866"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""title""]}]",The Machine Cabin Body is a distinct modeled access guard element. Its shape and location help learners recognize this part of the machine.,It forms part of the modeled access enclosure around the machine area.,It sits within the Chuck-Flushing Assembly and connects visually with adjacent parts of that assembly.,"Inspect the machine cabin body for perimeter seams, access edges, and clearance to adjoining panels. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#3297980,component-label,C43,Handling Arm,Mechanical Handling,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.09799999743700027,0.17080287262797356,-0.17987500131130219],""direction"":[-0.6467392636034566,0.6020388776547092,0.46827077071489004],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4253368_ARM_DT at occurrence path SA0138_ASM > 4246339_ASM_1 > 4250394 > 4253368_DT > 4253368_ARM_DT"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""title""]}]",The Handling Arm is a distinct modeled mechanical handling element. Its shape and location help learners recognize this part of the machine.,It forms part of the modeled arm-handling mechanism without claiming a motion sequence.,It sits within the Handling Arm Assembly and connects visually with adjacent parts of that assembly.,"Inspect the handling arm for attachment points, moving-path clearance, and enclosure contact edges. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#3299828,component-label,C44,Arm Stowage Garage,Mechanical Handling,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.04500000178813934,0,-0.019000000320374966],""direction"":[0.7411776578868686,0.13379974053095142,-0.6578398808853004],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4253368_GARAGE_DT at occurrence path SA0138_ASM > 4246339_ASM_1 > 4250394 > 4253368_DT > 4253368_GARAGE_DT"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""title""]}]",The Arm Stowage Garage is a distinct modeled mechanical handling element. Its shape and location help learners recognize this part of the machine.,It forms part of the modeled arm-handling mechanism without claiming a motion sequence.,It sits within the Handling Arm Assembly and connects visually with adjacent parts of that assembly.,"Inspect the arm stowage garage for attachment points, moving-path clearance, and enclosure contact edges. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2495063,component-label,C45,Left Z-Axis Sliding Guard,Machine Protection,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[-0.49999999999999956,0.718999981880188,-0.4085388854146004],""direction"":[0.029269489566234052,0.9494678540871445,-0.3124965456380038],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4012235 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4247587 > 4012235"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""title""]}]",The Left Z-Axis Sliding Guard is a distinct modeled machine protection element. Its shape and location help learners recognize this part of the machine.,It forms part of the protective outer envelope around adjacent machine elements.,It sits within the Z-Axis Sliding Guard Assembly and connects visually with adjacent parts of that assembly.,"Inspect the left z-axis sliding guard for panel seams, protective edges, and overlap clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:generated:component-label:#2500836,component-label,C46,Right Z-Axis Sliding Guard,Machine Protection,geometry-derived,"{""space"":""component-local"",""units"":""m"",""position"":[0.13500000536441803,0.2358511984348297,-0.406739704310894],""direction"":[0.9122137858843264,0.3893827196146012,-0.12746413812567517],""positionMethod"":""outward-local-bounds-face""}","[{""kind"":""technical-reference"",""title"":""29 CFR 1910.147 Control of hazardous energy"",""publisher"":""Occupational Safety and Health Administration"",""url"":""https://www.osha.gov/laws-regs/regulations/standardnumber/1910/1910.147"",""retrievedOn"":""2026-08-05"",""supports"":[""safety""]},{""kind"":""source-cad"",""title"":""Source CAD node 4014481 at occurrence path SA0138_ASM > 4246339_ASM_1 > 4247587 > 4014481"",""publisher"":""Supplied SA0231 STEP assembly, manifest, and derived GLB inventory"",""supports"":[""category"",""function"",""inspection"",""overview"",""relationships"",""title""]}]",The Right Z-Axis Sliding Guard is a distinct modeled machine protection element. Its shape and location help learners recognize this part of the machine.,It forms part of the protective outer envelope around adjacent machine elements.,It sits within the Z-Axis Sliding Guard Assembly and connects visually with adjacent parts of that assembly.,"Inspect the right z-axis sliding guard for panel seams, protective edges, and overlap clearance. Look for visible interference, looseness, damage, or contamination.","Before physical access, stop the machine and use the site’s authorized energy-control process. Follow the machine documentation for any service work."
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:annotation-occurrence:121494,source-technical,C20,Guideway Interface Plate technical reference 1,,exact,"{""space"":""component-local"",""units"":""m"",""position"":[0.6804137878418,0.35038942912670396,-0.47961331068095786],""positionMethod"":""curve-bounds-center""}",[],,,,,
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:annotation-occurrence:122603,source-technical,C20,Guideway Interface Plate technical reference 2,,exact,"{""space"":""component-local"",""units"":""m"",""position"":[0.68101512145995,0.38404337611314404,-0.501010738328569],""positionMethod"":""curve-bounds-center""}",[],,,,,
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:annotation-occurrence:127481,source-technical,C19,Guideway Interface Assembly technical reference,,exact,"{""space"":""component-local"",""units"":""m"",""position"":[0.043983446121215,0.055413065433517504,-0.452],""positionMethod"":""curve-bounds-center""}",[],,,,,
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:annotation-occurrence:1941559,source-technical,C23,Tool Turret Interface Plate technical reference 1,,exact,"{""space"":""component-local"",""units"":""m"",""position"":[-0.951544162750245,0.13984672492236994,0.3302045892985696],""positionMethod"":""curve-bounds-center""}",[],,,,,
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:annotation-occurrence:1942626,source-technical,C23,Tool Turret Interface Plate technical reference 2,,exact,"{""space"":""component-local"",""units"":""m"",""position"":[-0.95017227935791,0.11829541070147766,0.30865327507767737],""positionMethod"":""curve-bounds-center""}",[],,,,,
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:annotation-occurrence:1943693,source-technical,C23,Tool Turret Interface Plate technical reference 3,,exact,"{""space"":""component-local"",""units"":""m"",""position"":[-0.974760919570925,0.11825809152158277,0.3092052119983375],""positionMethod"":""curve-bounds-center""}",[],,,,,
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:annotation-occurrence:1944760,source-technical,C23,Tool Turret Interface Plate technical reference 4,,exact,"{""space"":""component-local"",""units"":""m"",""position"":[-0.930428871154785,0.13100789015754033,0.3174921098425114],""positionMethod"":""curve-bounds-center""}",[],,,,,
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:annotation-occurrence:2199154,source-technical,C24,Primary Heavy-Duty Electrical Connector Assembly technical reference 1,,exact,"{""space"":""component-local"",""units"":""m"",""position"":[0.03416695816870024,-0.5231669581686694,-1.05925],""positionMethod"":""curve-bounds-center""}",[],,,,,
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:annotation-occurrence:2201025,source-technical,C24,Primary Heavy-Duty Electrical Connector Assembly technical reference 2,,exact,"{""space"":""component-local"",""units"":""m"",""position"":[0.04650000000003617,-0.5355000000000054,-1.0554043064117433],""positionMethod"":""curve-bounds-center""}",[],,,,,
step:8dc6af817670e58127ccb7bffdd8b2402cf96d0a8fdf266ca988a923c9a6e646:annotation-occurrence:2202656,source-technical,C24,Primary Heavy-Duty Electrical Connector Assembly technical reference 3,,exact,"{""space"":""component-local"",""units"":""m"",""position"":[0.04650000000003618,-0.5355000000000054,-1.0565386194586754],""positionMethod"":""curve-bounds-center""}",[],,,,,
